Core, 0
Cumulative Cycles, 14750233            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.35591
Periodic Cycles, 7425515             
Periodic Instructions, 10000000            
Periodic IPC, 1.34671

BTB_ON_PATH_MISS_count,        186441
BTB_ON_PATH_MISS_pct,        8.585
BTB_ON_PATH_MISS_total_count,        383977
BTB_ON_PATH_MISS_total_pct,        9.157

BTB_ON_PATH_HIT_count,       1985352
BTB_ON_PATH_HIT_pct,       91.415
BTB_ON_PATH_HIT_total_count,       3809192
BTB_ON_PATH_HIT_total_pct,       90.843
BTB_ON_PATH_HIT_sum_count,       2171793
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4193169
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.91
BTB_ON_PATH_HIT_stddev,         0.88
BTB_ON_PATH_HIT_total_mean,         0.91
BTB_ON_PATH_HIT_total_stddev,         0.87

BTB_OFF_PATH_MISS_count,         69229
BTB_OFF_PATH_MISS_pct,       26.104
BTB_OFF_PATH_MISS_total_count,        194957
BTB_OFF_PATH_MISS_total_pct,       26.399

BTB_OFF_PATH_HIT_count,        195973
BTB_OFF_PATH_HIT_pct,       73.896
BTB_OFF_PATH_HIT_total_count,        543553
BTB_OFF_PATH_HIT_total_pct,       73.601
BTB_OFF_PATH_HIT_sum_count,        265202
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,        738510
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.74
BTB_OFF_PATH_HIT_stddev,         0.67
BTB_OFF_PATH_HIT_total_mean,         0.74
BTB_OFF_PATH_HIT_total_stddev,         0.67

BTB_ON_PATH_WRITE_count,         33119
BTB_ON_PATH_WRITE_pct,       99.005
BTB_ON_PATH_WRITE_total_count,         70383
BTB_ON_PATH_WRITE_total_pct,       98.556

BTB_OFF_PATH_WRITE_count,           333
BTB_OFF_PATH_WRITE_pct,        0.995
BTB_OFF_PATH_WRITE_total_count,          1031
BTB_OFF_PATH_WRITE_total_pct,        1.444
BTB_OFF_PATH_WRITE_sum_count,         33452
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         71414
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.01
BTB_OFF_PATH_WRITE_stddev,         0.10
BTB_OFF_PATH_WRITE_total_mean,         0.01
BTB_OFF_PATH_WRITE_total_stddev,         0.12

BP_ON_PATH_CORRECT_count,       2166660
BP_ON_PATH_CORRECT_pct,       99.764
BP_ON_PATH_CORRECT_total_count,       4174648
BP_ON_PATH_CORRECT_total_pct,       99.558

BP_ON_PATH_MISPREDICT_count,          5042
BP_ON_PATH_MISPREDICT_pct,        0.232
BP_ON_PATH_MISPREDICT_total_count,         18341
BP_ON_PATH_MISPREDICT_total_pct,        0.437

BP_ON_PATH_MISFETCH_count,            91
BP_ON_PATH_MISFETCH_pct,        0.004
BP_ON_PATH_MISFETCH_total_count,           180
BP_ON_PATH_MISFETCH_total_pct,        0.004
BP_ON_PATH_MISFETCH_sum_count,       2171793
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       4193169
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.00
BP_ON_PATH_MISFETCH_stddev,         0.05
BP_ON_PATH_MISFETCH_total_mean,         0.00
BP_ON_PATH_MISFETCH_total_stddev,         0.07

BP_OFF_PATH_CORRECT_count,        253489
BP_OFF_PATH_CORRECT_pct,       95.583
BP_OFF_PATH_CORRECT_total_count,        707011
BP_OFF_PATH_CORRECT_total_pct,       95.735

BP_OFF_PATH_MISPREDICT_count,          3268
BP_OFF_PATH_MISPREDICT_pct,        1.232
BP_OFF_PATH_MISPREDICT_total_count,          7626
BP_OFF_PATH_MISPREDICT_total_pct,        1.033

BP_OFF_PATH_MISFETCH_count,          8445
BP_OFF_PATH_MISFETCH_pct,        3.184
BP_OFF_PATH_MISFETCH_total_count,         23873
BP_OFF_PATH_MISFETCH_total_pct,        3.233
BP_OFF_PATH_MISFETCH_sum_count,        265202
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,        738510
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.08
BP_OFF_PATH_MISFETCH_stddev,         0.36
BP_OFF_PATH_MISFETCH_total_mean,         0.07
BP_OFF_PATH_MISFETCH_total_stddev,         0.36

LATE_BP_ON_PATH_CORRECT_count,       2171793
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       4193169
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       2171793
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       4193169
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,        265202
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,        738510
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,        265202
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,        738510
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

BP_ON_PATH_CONF_PVN_BOT_count,             0
BP_ON_PATH_CONF_PVN_BOT_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_total_pct,         -nan
